abbrev,name,street,city,state,zip,lat,lon,type,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,
ACOM,Alabama College of Osteopathic Medicine,445 Health Sciences Blvd.,Dothan,AL,36303,31.266568,-85.401317,parent,,,,,,,,,150,150,
ATSU-KCOM,A. T. Still University - Kirksville College of Osteopathic Medicine,800 W. Jefferson,Kirksville,MO,63501,40.165717,-92.609514,parent,160,160,160,160,160,160,160,160,160,160,
ATSU-SOMA,A.T. Still University - School of Osteopathic Medicine in Arizona,5850 E. Still Circle,Mesa,AZ,85206,33.38387395,-111.7041822,parent,,,100,100,100,100,100,100,100,100,
CUSOM,Campbell University Jerry M. Wallace School of Osteopathic Medicine,P.O. Box 4280,Buies Creek,NC,27506,35.420467,-78.713729,parent,,,,,,,,,150,150,
DMU-COM,Des Moines University College of Osteopathic Medicine,3200 Grand Ave.,Des Moines,IA,50312-4198,41.58445086,-93.66190082,parent,205,205,205,205,205,205,205,205,205,205,
GA-PCOM,Georgia Campus-Philadelphia College of Osteopathic Medicine,625 Old Peachtree Road,Suwanee,GA,30024,34.042479,-84.026171,branch,80,80,80,80,80,80,125,125,125,125,
KCUMB-COM,Kansas City University of Medicine and Biosciences' College of Osteopathic Medicine,1750 Independence Ave.,Kansas City,MO,64106,39.10667855,-94.56101521,parent,250,250,250,250,250,250,250,250,250,250,
LECOM,Lake Erie College of Osteopathic Medicine,1858 W. Grandview Blvd.,Erie,PA,16509-1025,42.07993652,-80.10483179,parent,144,144,180,180,180,180,180,180,180,180,
LECOM-Bradenton,Lake Erie College of Osteopathic Medicine-Bradenton,5000 Lakewood Ranch Blvd.,Bradenton,FL,34211-4909,27.41079344,-82.42796033,branch,150,150,150,150,150,150,182,182,182,182,
LECOM-Seton Hill,Lake Erie College of Osteopathic Medicine - Seton Hill,20 Seton Hill Drive,Greensburg,PA,15601,40.313525,-79.558876,additional,,,,,104,104,104,104,104,104,
LMU-DCOM,Lincoln Memorial University-DeBusk College of Osteopathic Medicine,6965 Cumberland Gap Parkway,Harrogate,TN,37752,36.57625408,-83.65481751,parent,,,150,150,150,150,150,225,225,225,
LUCOM,Liberty University College of Osteopathic Medicine,306 Liberty View Lane,Lynchburg,VA,24502,37.33885924,-79.17450353,parent,,,,,,,,,,150,
MSUCOM,Michigan State University College of Osteopathic Medicine,A-309 East Fee Hall,East Lansing,MI,48824,42.728334,-84.488226,parent,200,200,200,200,200,200,200,200,200,200,
MSUCOM-DMC,Michigan State University College of Osteopathic Medicine - Detroit Medical Center,4707 Saint Antoine St.,Detroit,MI,48201,42.35850578,-83.05641392,additional,,,,,50,50,50,50,50,50,
MSUCOM-MUC,Michigan State University College of Osteopathic Medicine - Macomb University Center,44575 Garfield Rd.,Clinton Twp.,MI,48038,42.624261,-82.953332,additional,,,,,50,50,50,50,50,50,
MU-COM,Marian University College of Osteopathic Medicine,3200 Cold Spring Rd.,Indianapolis,IN,46222-1997,39.81493283,-86.20112933,parent,,,,,,,,,150,150,
